dataset,window_size,seed,epochs,n_minority_samples,input_dim,target_min,target_max,target_mean,num_params,train_time_s,gen_time_s,status,real_mean,synth_mean,real_std,synth_std,mean_abs_diff,std_abs_diff,power_spectrum_l2,power_spectrum_corr,mmd
FEMTO,2560,42,30,870,5,0.0011481055989861488,0.19977037608623505,0.10045924220212746,856482,17.18,2.3,success,0.198877,0.197081,1.524246,0.603187,0.001796,0.921059,11811.437795,0.961716,0.238228
XJTU-SY,2048,42,30,390,2,0.0030674845911562443,0.19938650727272034,0.10122699368601808,831810,14.2,2.08,success,0.000731,0.039207,1.666496,1.338031,0.038476,0.328465,26390.287234,0.298552,0.049186
