dataset,seed,gen_epochs,train_time_s,status,gen_real_mean,gen_synth_mean,gen_real_std,gen_synth_std,gen_mean_abs_diff,gen_std_abs_diff,gen_power_spectrum_l2,gen_power_spectrum_corr,gen_mmd,tstr_gate_passed,tstr_tstr_applicable,tstr_synthetic_num_classes,tstr_real_num_classes,tstr_tstr_accuracy,tstr_tstr_balanced_accuracy,tstr_tstr_f1_macro,tstr_tstr_mcc,tstr_tstr_cross_entropy,tstr_trtr_accuracy,tstr_trtr_balanced_accuracy,tstr_trtr_f1_macro,tstr_trtr_mcc,tstr_trtr_cross_entropy,tstr_relative_f1_macro,tstr_relative_balanced_accuracy,tstr_min_relative_f1,tstr_min_relative_balanced_accuracy
FEMTO,42,30,19.99,success,0.199681,0.084892,1.14448,1.757666,0.114789,0.613186,39567.748762,0.431813,0.205128,False,True,4,4,0.3103448275862069,0.3091966173361522,0.2889602963242619,0.0880665926288426,1.3633115944355356,0.39080459770114945,0.3914026078088578,0.35105578138173255,0.19878213470464737,1.1205272020225023,0.8231178964976252,0.7899707645462315,0.8,0.8
FEMTO,123,30,17.54,success,0.199681,0.245299,1.14448,0.886926,0.045619,0.257555,10767.189844,0.963064,0.301723,False,True,4,4,0.267816091954023,0.26884249471458777,0.2562336836988397,0.02582761207572709,1.3872494828439932,0.3716475095785441,0.37300954254079255,0.3869831119287669,0.16408306592337013,1.182850837146094,0.6621314362317842,0.7207389196623221,0.8,0.8
FEMTO,456,30,17.06,success,0.199681,0.118963,1.14448,1.268728,0.080717,0.124247,28367.849888,0.730702,0.262277,False,True,4,4,0.25517241379310346,0.25232558139534883,0.11649478147761208,0.008155976969378217,1.4056812774378975,0.41379310344827586,0.41620410839160843,0.4004521016617791,0.22908396633103068,1.049032476456298,0.29090815354492333,0.6062544225486945,0.8,0.8
FEMTO,789,30,18.02,success,0.199681,0.214341,1.14448,0.994103,0.01466,0.150377,16127.684711,0.918422,0.328462,False,True,4,4,0.2540229885057471,0.25229915433403804,0.1588693752442163,0.004553709949343972,1.4101624854432364,0.42911877394636017,0.43094041375291375,0.4229599252491694,0.2439500208527681,1.0391547972861925,0.3756133046189304,0.5854618092948173,0.8,0.8
FEMTO,1024,30,17.31,success,0.199681,0.325646,1.14448,2.528027,0.125965,1.383546,231455.837648,0.181918,0.520456,False,True,4,4,0.26436781609195403,0.26223572938689216,0.16772176608710238,0.02725247053851544,1.4042269654850823,0.367816091954023,0.3700466200466201,0.36095532950022113,0.16445747653594095,1.1355856644537843,0.4646607277397178,0.7086559238234754,0.8,0.8
